Class,Precision,Recall,F1 Score,Support
0,0.42168674698795183,0.35,0.3825136612021858,100
1,0.3584905660377358,0.38,0.36893203883495146,100
2,0.03225806451612903,0.06666666666666667,0.043478260869565216,15
3,0.3951612903225806,0.49,0.4375,100
4,0.42452830188679247,0.45,0.4368932038834951,100
5,0.5909090909090909,0.52,0.5531914893617021,100
6,0.6702127659574468,0.63,0.6494845360824743,100
7,0.5887096774193549,0.73,0.6517857142857143,100
8,0.5425531914893617,0.51,0.5257731958762887,100
9,0.4019607843137255,0.41,0.40594059405940597,100
10,0.29213483146067415,0.26,0.2751322751322751,100
11,0.36,0.36,0.36,100
12,0.4864864864864865,0.36,0.41379310344827586,100
