Class,Precision,Recall,F1 Score,Support
0,0.22916666666666666,0.22,0.22448979591836735,100
1,0.25,0.25,0.25,100
2,0.0,0.0,0.0,15
3,0.3375,0.27,0.3,100
4,0.19148936170212766,0.18,0.18556701030927836,100
5,0.36220472440944884,0.46,0.4052863436123348,100
6,0.46218487394957986,0.55,0.502283105022831,100
7,0.36363636363636365,0.52,0.4279835390946502,100
8,0.25,0.27,0.25961538461538464,100
9,0.1527777777777778,0.11,0.12790697674418605,100
10,0.2222222222222222,0.12,0.15584415584415584,100
11,0.26666666666666666,0.2,0.22857142857142856,100
12,0.35294117647058826,0.3,0.32432432432432434,100
